instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
9263362,36185,BANKNIFTY23MAYFUT,BANKNIFTY,0.0,2023-05-25,0.0,0.05,25,FUT,NFO-FUT,NFO
10132226,39579,BANKNIFTY2351135000CE,BANKNIFTY,0.0,2023-05-11,35000.0,0.05,25,CE,NFO-OPT,NFO
10132482,39580,BANKNIFTY2351135000PE,BANKNIFTY,0.0,2023-05-11,35000.0,0.05,25,PE,NFO-OPT,NFO
10132738,39581,BANKNIFTY2351135500CE,BANKNIFTY,0.0,2023-05-11,35500.0,0.05,25,CE,NFO-OPT,NFO
10132994,39582,BANKNIFTY2351135500PE,BANKNIFTY,0.0,2023-05-11,35500.0,0.05,25,PE,NFO-OPT,NFO
10133762,39585,BANKNIFTY2351136000CE,BANKNIFTY,0.0,2023-05-11,36000.0,0.05,25,CE,NFO-OPT,NFO
10134018,39586,BANKNIFTY2351136000PE,BANKNIFTY,0.0,2023-05-11,36000.0,0.05,25,PE,NFO-OPT,NFO
10141442,39615,BANKNIFTY2351136500CE,BANKNIFTY,0.0,2023-05-11,36500.0,0.05,25,CE,NFO-OPT,NFO
10141698,39616,BANKNIFTY2351136500PE,BANKNIFTY,0.0,2023-05-11,36500.0,0.05,25,PE,NFO-OPT,NFO
10146818,39636,BANKNIFTY2351137000CE,BANKNIFTY,0.0,2023-05-11,37000.0,0.05,25,CE,NFO-OPT,NFO
10147074,39637,BANKNIFTY2351137000PE,BANKNIFTY,0.0,2023-05-11,37000.0,0.05,25,PE,NFO-OPT,NFO
10151938,39656,BANKNIFTY2351137500CE,BANKNIFTY,0.0,2023-05-11,37500.0,0.05,25,CE,NFO-OPT,NFO
10152194,39657,BANKNIFTY2351137500PE,BANKNIFTY,0.0,2023-05-11,37500.0,0.05,25,PE,NFO-OPT,NFO
