instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8963842,35015,NIFTY23AUGFUT,NIFTY,0.0,2023-08-31,0.0,0.05,50,FUT,NFO-FUT,NFO
10930434,42697,NIFTY23JULFUT,NIFTY,0.0,2023-07-27,0.0,0.05,50,FUT,NFO-FUT,NFO
8972290,35048,NIFTY23SEPFUT,NIFTY,0.0,2023-09-28,0.0,0.05,50,FUT,NFO-FUT,NFO
8963586,35014,BANKNIFTY23AUGFUT,BANKNIFTY,0.0,2023-08-31,0.0,0.05,15,FUT,NFO-FUT,NFO
10929154,42692,BANKNIFTY23JULFUT,BANKNIFTY,0.0,2023-07-27,0.0,0.05,15,FUT,NFO-FUT,NFO
8972034,35047,BANKNIFTY23SEPFUT,BANKNIFTY,0.0,2023-09-28,0.0,0.05,15,FUT,NFO-FUT,NFO
10227202,39950,FINNIFTY23AUGFUT,FINNIFTY,0.0,2023-08-29,0.0,0.05,40,FUT,NFO-FUT,NFO
13080834,51097,FINNIFTY23JULFUT,FINNIFTY,0.0,2023-07-25,0.0,0.05,40,FUT,NFO-FUT,NFO
11313922,44195,FINNIFTY23SEPFUT,FINNIFTY,0.0,2023-09-26,0.0,0.05,40,FUT,NFO-FUT,NFO
13671682,53405,NIFTY23JUL16400CE,NIFTY,0.0,2023-07-27,16400.0,0.05,50,CE,NFO-OPT,NFO
13671938,53406,NIFTY23JUL16400PE,NIFTY,0.0,2023-07-27,16400.0,0.05,50,PE,NFO-OPT,NFO
13672194,53407,NIFTY23JUL16450CE,NIFTY,0.0,2023-07-27,16450.0,0.05,50,CE,NFO-OPT,NFO
13672450,53408,NIFTY23JUL16450PE,NIFTY,0.0,2023-07-27,16450.0,0.05,50,PE,NFO-OPT,NFO
13672706,53409,NIFTY23JUL16500CE,NIFTY,0.0,2023-07-27,16500.0,0.05,50,CE,NFO-OPT,NFO
13672962,53410,NIFTY23JUL16500PE,NIFTY,0.0,2023-07-27,16500.0,0.05,50,PE,NFO-OPT,NFO
13673218,53411,NIFTY23JUL16550CE,NIFTY,0.0,2023-07-27,16550.0,0.05,50,CE,NFO-OPT,NFO
