instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8960514,35002,BANKNIFTY23JUNFUT,BANKNIFTY,0.0,2023-06-29,0.0,0.05,25,FUT,NFO-FUT,NFO
12770050,49883,BANKNIFTY2360136000CE,BANKNIFTY,0.0,2023-06-01,36000.0,0.05,25,CE,NFO-OPT,NFO
12770306,49884,BANKNIFTY2360136000PE,BANKNIFTY,0.0,2023-06-01,36000.0,0.05,25,PE,NFO-OPT,NFO
12770562,49885,BANKNIFTY2360136500CE,BANKNIFTY,0.0,2023-06-01,36500.0,0.05,25,CE,NFO-OPT,NFO
12770818,49886,BANKNIFTY2360136500PE,BANKNIFTY,0.0,2023-06-01,36500.0,0.05,25,PE,NFO-OPT,NFO
12771074,49887,BANKNIFTY2360137000CE,BANKNIFTY,0.0,2023-06-01,37000.0,0.05,25,CE,NFO-OPT,NFO
12771330,49888,BANKNIFTY2360137000PE,BANKNIFTY,0.0,2023-06-01,37000.0,0.05,25,PE,NFO-OPT,NFO
12772610,49893,BANKNIFTY2360137500CE,BANKNIFTY,0.0,2023-06-01,37500.0,0.05,25,CE,NFO-OPT,NFO
12772866,49894,BANKNIFTY2360137500PE,BANKNIFTY,0.0,2023-06-01,37500.0,0.05,25,PE,NFO-OPT,NFO
12776194,49907,BANKNIFTY2360138000CE,BANKNIFTY,0.0,2023-06-01,38000.0,0.05,25,CE,NFO-OPT,NFO
12776450,49908,BANKNIFTY2360138000PE,BANKNIFTY,0.0,2023-06-01,38000.0,0.05,25,PE,NFO-OPT,NFO
12783362,49935,BANKNIFTY2360138500CE,BANKNIFTY,0.0,2023-06-01,38500.0,0.05,25,CE,NFO-OPT,NFO
12783618,49936,BANKNIFTY2360138500PE,BANKNIFTY,0.0,2023-06-01,38500.0,0.05,25,PE,NFO-OPT,NFO
12786946,49949,BANKNIFTY2360139000CE,BANKNIFTY,0.0,2023-06-01,39000.0,0.05,25,CE,NFO-OPT,NFO
12787202,49950,BANKNIFTY2360139000PE,BANKNIFTY,0.0,2023-06-01,39000.0,0.05,25,PE,NFO-OPT,NFO
12789506,49959,BANKNIFTY2360139500CE,BANKNIFTY,0.0,2023-06-01,39500.0,0.05,25,CE,NFO-OPT,NFO
12789762,49960,BANKNIFTY2360139500PE,BANKNIFTY,0.0,2023-06-01,39500.0,0.05,25,PE,NFO-OPT,NFO
