instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8960514,35002,BANKNIFTY23JUNFUT,BANKNIFTY,0.0,2023-06-29,0.0,0.05,25,FUT,NFO-FUT,NFO
9553410,37318,BANKNIFTY2361537500CE,BANKNIFTY,0.0,2023-06-15,37500.0,0.05,25,CE,NFO-OPT,NFO
9553666,37319,BANKNIFTY2361537500PE,BANKNIFTY,0.0,2023-06-15,37500.0,0.05,25,PE,NFO-OPT,NFO
9553922,37320,BANKNIFTY2361538000CE,BANKNIFTY,0.0,2023-06-15,38000.0,0.05,25,CE,NFO-OPT,NFO
9554178,37321,BANKNIFTY2361538000PE,BANKNIFTY,0.0,2023-06-15,38000.0,0.05,25,PE,NFO-OPT,NFO
9554434,37322,BANKNIFTY2361538500CE,BANKNIFTY,0.0,2023-06-15,38500.0,0.05,25,CE,NFO-OPT,NFO
9554690,37323,BANKNIFTY2361538500PE,BANKNIFTY,0.0,2023-06-15,38500.0,0.05,25,PE,NFO-OPT,NFO
9556994,37332,BANKNIFTY2361539000CE,BANKNIFTY,0.0,2023-06-15,39000.0,0.05,25,CE,NFO-OPT,NFO
9557250,37333,BANKNIFTY2361539000PE,BANKNIFTY,0.0,2023-06-15,39000.0,0.05,25,PE,NFO-OPT,NFO
9559554,37342,BANKNIFTY2361539500CE,BANKNIFTY,0.0,2023-06-15,39500.0,0.05,25,CE,NFO-OPT,NFO
9559810,37343,BANKNIFTY2361539500PE,BANKNIFTY,0.0,2023-06-15,39500.0,0.05,25,PE,NFO-OPT,NFO
9562882,37355,BANKNIFTY2361540000CE,BANKNIFTY,0.0,2023-06-15,40000.0,0.05,25,CE,NFO-OPT,NFO
9563650,37358,BANKNIFTY2361540000PE,BANKNIFTY,0.0,2023-06-15,40000.0,0.05,25,PE,NFO-OPT,NFO
9565954,37367,BANKNIFTY2361540500CE,BANKNIFTY,0.0,2023-06-15,40500.0,0.05,25,CE,NFO-OPT,NFO
9566210,37368,BANKNIFTY2361540500PE,BANKNIFTY,0.0,2023-06-15,40500.0,0.05,25,PE,NFO-OPT,NFO
9568514,37377,BANKNIFTY2361541000CE,BANKNIFTY,0.0,2023-06-15,41000.0,0.05,25,CE,NFO-OPT,NFO
9568770,37378,BANKNIFTY2361541000PE,BANKNIFTY,0.0,2023-06-15,41000.0,0.05,25,PE,NFO-OPT,NFO
