instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
10929154,42692,BANKNIFTY23JULFUT,BANKNIFTY,0.0,2023-07-27,0.0,0.05,15,FUT,NFO-FUT,NFO
9018626,35229,BANKNIFTY2371337500CE,BANKNIFTY,0.0,2023-07-13,37500.0,0.05,25,CE,NFO-OPT,NFO
9019138,35231,BANKNIFTY2371337500PE,BANKNIFTY,0.0,2023-07-13,37500.0,0.05,25,PE,NFO-OPT,NFO
9020162,35235,BANKNIFTY2371338000CE,BANKNIFTY,0.0,2023-07-13,38000.0,0.05,25,CE,NFO-OPT,NFO
9020674,35237,BANKNIFTY2371338000PE,BANKNIFTY,0.0,2023-07-13,38000.0,0.05,25,PE,NFO-OPT,NFO
9027074,35262,BANKNIFTY2371338500CE,BANKNIFTY,0.0,2023-07-13,38500.0,0.05,25,CE,NFO-OPT,NFO
9027330,35263,BANKNIFTY2371338500PE,BANKNIFTY,0.0,2023-07-13,38500.0,0.05,25,PE,NFO-OPT,NFO
9414402,36775,BANKNIFTY2371339000CE,BANKNIFTY,0.0,2023-07-13,39000.0,0.05,25,CE,NFO-OPT,NFO
9415682,36780,BANKNIFTY2371339000PE,BANKNIFTY,0.0,2023-07-13,39000.0,0.05,25,PE,NFO-OPT,NFO
9896194,38657,BANKNIFTY2371339500CE,BANKNIFTY,0.0,2023-07-13,39500.0,0.05,25,CE,NFO-OPT,NFO
9896450,38658,BANKNIFTY2371339500PE,BANKNIFTY,0.0,2023-07-13,39500.0,0.05,25,PE,NFO-OPT,NFO
10643458,41576,BANKNIFTY2371340000CE,BANKNIFTY,0.0,2023-07-13,40000.0,0.05,25,CE,NFO-OPT,NFO
10643714,41577,BANKNIFTY2371340000PE,BANKNIFTY,0.0,2023-07-13,40000.0,0.05,25,PE,NFO-OPT,NFO
10647042,41590,BANKNIFTY2371340500CE,BANKNIFTY,0.0,2023-07-13,40500.0,0.05,25,CE,NFO-OPT,NFO
10647298,41591,BANKNIFTY2371340500PE,BANKNIFTY,0.0,2023-07-13,40500.0,0.05,25,PE,NFO-OPT,NFO
10650114,41602,BANKNIFTY2371340900CE,BANKNIFTY,0.0,2023-07-13,40900.0,0.05,25,CE,NFO-OPT,NFO
10650370,41603,BANKNIFTY2371340900PE,BANKNIFTY,0.0,2023-07-13,40900.0,0.05,25,PE,NFO-OPT,NFO
10651138,41606,BANKNIFTY2371341000CE,BANKNIFTY,0.0,2023-07-13,41000.0,0.05,25,CE,NFO-OPT,NFO
10651394,41607,BANKNIFTY2371341000PE,BANKNIFTY,0.0,2023-07-13,41000.0,0.05,25,PE,NFO-OPT,NFO
10651650,41608,BANKNIFTY2371341100CE,BANKNIFTY,0.0,2023-07-13,41100.0,0.05,25,CE,NFO-OPT,NFO
10651906,41609,BANKNIFTY2371341100PE,BANKNIFTY,0.0,2023-07-13,41100.0,0.05,25,PE,NFO-OPT,NFO
10652162,41610,BANKNIFTY2371341200CE,BANKNIFTY,0.0,2023-07-13,41200.0,0.05,25,CE,NFO-OPT,NFO
10652418,41611,BANKNIFTY2371341200PE,BANKNIFTY,0.0,2023-07-13,41200.0,0.05,25,PE,NFO-OPT,NFO
10653186,41614,BANKNIFTY2371341300CE,BANKNIFTY,0.0,2023-07-13,41300.0,0.05,25,CE,NFO-OPT,NFO
10653442,41615,BANKNIFTY2371341300PE,BANKNIFTY,0.0,2023-07-13,41300.0,0.05,25,PE,NFO-OPT,NFO
10653698,41616,BANKNIFTY2371341400CE,BANKNIFTY,0.0,2023-07-13,41400.0,0.05,25,CE,NFO-OPT,NFO
10653954,41617,BANKNIFTY2371341400PE,BANKNIFTY,0.0,2023-07-13,41400.0,0.05,25,PE,NFO-OPT,NFO
10654210,41618,BANKNIFTY2371341500CE,BANKNIFTY,0.0,2023-07-13,41500.0,0.05,25,CE,NFO-OPT,NFO
10654466,41619,BANKNIFTY2371341500PE,BANKNIFTY,0.0,2023-07-13,41500.0,0.05,25,PE,NFO-OPT,NFO
10655234,41622,BANKNIFTY2371341600CE,BANKNIFTY,0.0,2023-07-13,41600.0,0.05,25,CE,NFO-OPT,NFO
10655490,41623,BANKNIFTY2371341600PE,BANKNIFTY,0.0,2023-07-13,41600.0,0.05,25,PE,NFO-OPT,NFO
10655746,41624,BANKNIFTY2371341700CE,BANKNIFTY,0.0,2023-07-13,41700.0,0.05,25,CE,NFO-OPT,NFO
10656002,41625,BANKNIFTY2371341700PE,BANKNIFTY,0.0,2023-07-13,41700.0,0.05,25,PE,NFO-OPT,NFO
10657282,41630,BANKNIFTY2371341800CE,BANKNIFTY,0.0,2023-07-13,41800.0,0.05,25,CE,NFO-OPT,NFO
10657538,41631,BANKNIFTY2371341800PE,BANKNIFTY,0.0,2023-07-13,41800.0,0.05,25,PE,NFO-OPT,NFO
10657794,41632,BANKNIFTY2371341900CE,BANKNIFTY,0.0,2023-07-13,41900.0,0.05,25,CE,NFO-OPT,NFO
10658050,41633,BANKNIFTY2371341900PE,BANKNIFTY,0.0,2023-07-13,41900.0,0.05,25,PE,NFO-OPT,NFO
10659330,41638,BANKNIFTY2371342000CE,BANKNIFTY,0.0,2023-07-13,42000.0,0.05,25,CE,NFO-OPT,NFO
10659842,41640,BANKNIFTY2371342000PE,BANKNIFTY,0.0,2023-07-13,42000.0,0.05,25,PE,NFO-OPT,NFO
10660098,41641,BANKNIFTY2371342100CE,BANKNIFTY,0.0,2023-07-13,42100.0,0.05,25,CE,NFO-OPT,NFO
10660354,41642,BANKNIFTY2371342100PE,BANKNIFTY,0.0,2023-07-13,42100.0,0.05,25,PE,NFO-OPT,NFO
10661122,41645,BANKNIFTY2371342200CE,BANKNIFTY,0.0,2023-07-13,42200.0,0.05,25,CE,NFO-OPT,NFO
10661378,41646,BANKNIFTY2371342200PE,BANKNIFTY,0.0,2023-07-13,42200.0,0.05,25,PE,NFO-OPT,NFO
10661634,41647,BANKNIFTY2371342300CE,BANKNIFTY,0.0,2023-07-13,42300.0,0.05,25,CE,NFO-OPT,NFO
10661890,41648,BANKNIFTY2371342300PE,BANKNIFTY,0.0,2023-07-13,42300.0,0.05,25,PE,NFO-OPT,NFO
10662146,41649,BANKNIFTY2371342400CE,BANKNIFTY,0.0,2023-07-13,42400.0,0.05,25,CE,NFO-OPT,NFO
10662402,41650,BANKNIFTY2371342400PE,BANKNIFTY,0.0,2023-07-13,42400.0,0.05,25,PE,NFO-OPT,NFO
10662658,41651,BANKNIFTY2371342500CE,BANKNIFTY,0.0,2023-07-13,42500.0,0.05,25,CE,NFO-OPT,NFO
10662914,41652,BANKNIFTY2371342500PE,BANKNIFTY,0.0,2023-07-13,42500.0,0.05,25,PE,NFO-OPT,NFO
10664450,41658,BANKNIFTY2371342600CE,BANKNIFTY,0.0,2023-07-13,42600.0,0.05,25,CE,NFO-OPT,NFO
10664706,41659,BANKNIFTY2371342600PE,BANKNIFTY,0.0,2023-07-13,42600.0,0.05,25,PE,NFO-OPT,NFO
10664962,41660,BANKNIFTY2371342700CE,BANKNIFTY,0.0,2023-07-13,42700.0,0.05,25,CE,NFO-OPT,NFO
10665218,41661,BANKNIFTY2371342700PE,BANKNIFTY,0.0,2023-07-13,42700.0,0.05,25,PE,NFO-OPT,NFO
10666498,41666,BANKNIFTY2371342800CE,BANKNIFTY,0.0,2023-07-13,42800.0,0.05,25,CE,NFO-OPT,NFO
10666754,41667,BANKNIFTY2371342800PE,BANKNIFTY,0.0,2023-07-13,42800.0,0.05,25,PE,NFO-OPT,NFO
10667010,41668,BANKNIFTY2371342900CE,BANKNIFTY,0.0,2023-07-13,42900.0,0.05,25,CE,NFO-OPT,NFO
10667266,41669,BANKNIFTY2371342900PE,BANKNIFTY,0.0,2023-07-13,42900.0,0.05,25,PE,NFO-OPT,NFO
10667522,41670,BANKNIFTY2371343000CE,BANKNIFTY,0.0,2023-07-13,43000.0,0.05,25,CE,NFO-OPT,NFO
10667778,41671,BANKNIFTY2371343000PE,BANKNIFTY,0.0,2023-07-13,43000.0,0.05,25,PE,NFO-OPT,NFO
10668034,41672,BANKNIFTY2371343100CE,BANKNIFTY,0.0,2023-07-13,43100.0,0.05,25,CE,NFO-OPT,NFO
10668290,41673,BANKNIFTY2371343100PE,BANKNIFTY,0.0,2023-07-13,43100.0,0.05,25,PE,NFO-OPT,NFO
10669570,41678,BANKNIFTY2371343200CE,BANKNIFTY,0.0,2023-07-13,43200.0,0.05,25,CE,NFO-OPT,NFO
10669826,41679,BANKNIFTY2371343200PE,BANKNIFTY,0.0,2023-07-13,43200.0,0.05,25,PE,NFO-OPT,NFO
10670082,41680,BANKNIFTY2371343300CE,BANKNIFTY,0.0,2023-07-13,43300.0,0.05,25,CE,NFO-OPT,NFO
10670338,41681,BANKNIFTY2371343300PE,BANKNIFTY,0.0,2023-07-13,43300.0,0.05,25,PE,NFO-OPT,NFO
10670594,41682,BANKNIFTY2371343400CE,BANKNIFTY,0.0,2023-07-13,43400.0,0.05,25,CE,NFO-OPT,NFO
10670850,41683,BANKNIFTY2371343400PE,BANKNIFTY,0.0,2023-07-13,43400.0,0.05,25,PE,NFO-OPT,NFO
10671106,41684,BANKNIFTY2371343500CE,BANKNIFTY,0.0,2023-07-13,43500.0,0.05,25,CE,NFO-OPT,NFO
10671362,41685,BANKNIFTY2371343500PE,BANKNIFTY,0.0,2023-07-13,43500.0,0.05,25,PE,NFO-OPT,NFO
10672386,41689,BANKNIFTY2371343600CE,BANKNIFTY,0.0,2023-07-13,43600.0,0.05,25,CE,NFO-OPT,NFO
10672898,41691,BANKNIFTY2371343600PE,BANKNIFTY,0.0,2023-07-13,43600.0,0.05,25,PE,NFO-OPT,NFO
10673666,41694,BANKNIFTY2371343700CE,BANKNIFTY,0.0,2023-07-13,43700.0,0.05,25,CE,NFO-OPT,NFO
10673922,41695,BANKNIFTY2371343700PE,BANKNIFTY,0.0,2023-07-13,43700.0,0.05,25,PE,NFO-OPT,NFO
10674178,41696,BANKNIFTY2371343800CE,BANKNIFTY,0.0,2023-07-13,43800.0,0.05,25,CE,NFO-OPT,NFO
10674434,41697,BANKNIFTY2371343800PE,BANKNIFTY,0.0,2023-07-13,43800.0,0.05,25,PE,NFO-OPT,NFO
10675202,41700,BANKNIFTY2371343900CE,BANKNIFTY,0.0,2023-07-13,43900.0,0.05,25,CE,NFO-OPT,NFO
10675458,41701,BANKNIFTY2371343900PE,BANKNIFTY,0.0,2023-07-13,43900.0,0.05,25,PE,NFO-OPT,NFO
10675714,41702,BANKNIFTY2371344000CE,BANKNIFTY,0.0,2023-07-13,44000.0,0.05,25,CE,NFO-OPT,NFO
10675970,41703,BANKNIFTY2371344000PE,BANKNIFTY,0.0,2023-07-13,44000.0,0.05,25,PE,NFO-OPT,NFO
10676226,41704,BANKNIFTY2371344100CE,BANKNIFTY,0.0,2023-07-13,44100.0,0.05,25,CE,NFO-OPT,NFO
10676482,41705,BANKNIFTY2371344100PE,BANKNIFTY,0.0,2023-07-13,44100.0,0.05,25,PE,NFO-OPT,NFO
10676738,41706,BANKNIFTY2371344200CE,BANKNIFTY,0.0,2023-07-13,44200.0,0.05,25,CE,NFO-OPT,NFO
10676994,41707,BANKNIFTY2371344200PE,BANKNIFTY,0.0,2023-07-13,44200.0,0.05,25,PE,NFO-OPT,NFO
10677250,41708,BANKNIFTY2371344300CE,BANKNIFTY,0.0,2023-07-13,44300.0,0.05,25,CE,NFO-OPT,NFO
10677506,41709,BANKNIFTY2371344300PE,BANKNIFTY,0.0,2023-07-13,44300.0,0.05,25,PE,NFO-OPT,NFO
10677762,41710,BANKNIFTY2371344400CE,BANKNIFTY,0.0,2023-07-13,44400.0,0.05,25,CE,NFO-OPT,NFO
10678018,41711,BANKNIFTY2371344400PE,BANKNIFTY,0.0,2023-07-13,44400.0,0.05,25,PE,NFO-OPT,NFO
10678274,41712,BANKNIFTY2371344500CE,BANKNIFTY,0.0,2023-07-13,44500.0,0.05,25,CE,NFO-OPT,NFO
10678786,41714,BANKNIFTY2371344500PE,BANKNIFTY,0.0,2023-07-13,44500.0,0.05,25,PE,NFO-OPT,NFO
10679810,41718,BANKNIFTY2371344600CE,BANKNIFTY,0.0,2023-07-13,44600.0,0.05,25,CE,NFO-OPT,NFO
