instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
10929154,42692,BANKNIFTY23JULFUT,BANKNIFTY,0.0,2023-07-27,0.0,0.05,15,FUT,NFO-FUT,NFO
11075074,43262,BANKNIFTY23JUL36500CE,BANKNIFTY,0.0,2023-07-27,36500.0,0.05,15,CE,NFO-OPT,NFO
11075330,43263,BANKNIFTY23JUL36500PE,BANKNIFTY,0.0,2023-07-27,36500.0,0.05,15,PE,NFO-OPT,NFO
11077122,43270,BANKNIFTY23JUL37000CE,BANKNIFTY,0.0,2023-07-27,37000.0,0.05,15,CE,NFO-OPT,NFO
11077378,43271,BANKNIFTY23JUL37000PE,BANKNIFTY,0.0,2023-07-27,37000.0,0.05,15,PE,NFO-OPT,NFO
11079170,43278,BANKNIFTY23JUL37500CE,BANKNIFTY,0.0,2023-07-27,37500.0,0.05,15,CE,NFO-OPT,NFO
11079426,43279,BANKNIFTY23JUL37500PE,BANKNIFTY,0.0,2023-07-27,37500.0,0.05,15,PE,NFO-OPT,NFO
11080706,43284,BANKNIFTY23JUL38000CE,BANKNIFTY,0.0,2023-07-27,38000.0,0.05,15,CE,NFO-OPT,NFO
11080962,43285,BANKNIFTY23JUL38000PE,BANKNIFTY,0.0,2023-07-27,38000.0,0.05,15,PE,NFO-OPT,NFO
11789314,46052,BANKNIFTY23JUL38500CE,BANKNIFTY,0.0,2023-07-27,38500.0,0.05,15,CE,NFO-OPT,NFO
11790082,46055,BANKNIFTY23JUL38500PE,BANKNIFTY,0.0,2023-07-27,38500.0,0.05,15,PE,NFO-OPT,NFO
11920386,46564,BANKNIFTY23JUL39000CE,BANKNIFTY,0.0,2023-07-27,39000.0,0.05,15,CE,NFO-OPT,NFO
11921154,46567,BANKNIFTY23JUL39000PE,BANKNIFTY,0.0,2023-07-27,39000.0,0.05,15,PE,NFO-OPT,NFO
11949570,46678,BANKNIFTY23JUL39500CE,BANKNIFTY,0.0,2023-07-27,39500.0,0.05,15,CE,NFO-OPT,NFO
11949826,46679,BANKNIFTY23JUL39500PE,BANKNIFTY,0.0,2023-07-27,39500.0,0.05,15,PE,NFO-OPT,NFO
13532162,52860,BANKNIFTY23JUL40000CE,BANKNIFTY,0.0,2023-07-27,40000.0,0.05,15,CE,NFO-OPT,NFO
13532418,52861,BANKNIFTY23JUL40000PE,BANKNIFTY,0.0,2023-07-27,40000.0,0.05,15,PE,NFO-OPT,NFO
13533186,52864,BANKNIFTY23JUL40200CE,BANKNIFTY,0.0,2023-07-27,40200.0,0.05,15,CE,NFO-OPT,NFO
13533442,52865,BANKNIFTY23JUL40200PE,BANKNIFTY,0.0,2023-07-27,40200.0,0.05,15,PE,NFO-OPT,NFO
13533698,52866,BANKNIFTY23JUL40300CE,BANKNIFTY,0.0,2023-07-27,40300.0,0.05,15,CE,NFO-OPT,NFO
13533954,52867,BANKNIFTY23JUL40300PE,BANKNIFTY,0.0,2023-07-27,40300.0,0.05,15,PE,NFO-OPT,NFO
13534210,52868,BANKNIFTY23JUL40400CE,BANKNIFTY,0.0,2023-07-27,40400.0,0.05,15,CE,NFO-OPT,NFO
13534466,52869,BANKNIFTY23JUL40400PE,BANKNIFTY,0.0,2023-07-27,40400.0,0.05,15,PE,NFO-OPT,NFO
13534722,52870,BANKNIFTY23JUL40500CE,BANKNIFTY,0.0,2023-07-27,40500.0,0.05,15,CE,NFO-OPT,NFO
13534978,52871,BANKNIFTY23JUL40500PE,BANKNIFTY,0.0,2023-07-27,40500.0,0.05,15,PE,NFO-OPT,NFO
13535234,52872,BANKNIFTY23JUL40600CE,BANKNIFTY,0.0,2023-07-27,40600.0,0.05,15,CE,NFO-OPT,NFO
13535490,52873,BANKNIFTY23JUL40600PE,BANKNIFTY,0.0,2023-07-27,40600.0,0.05,15,PE,NFO-OPT,NFO
13535746,52874,BANKNIFTY23JUL40700CE,BANKNIFTY,0.0,2023-07-27,40700.0,0.05,15,CE,NFO-OPT,NFO
13536002,52875,BANKNIFTY23JUL40700PE,BANKNIFTY,0.0,2023-07-27,40700.0,0.05,15,PE,NFO-OPT,NFO
13536258,52876,BANKNIFTY23JUL40800CE,BANKNIFTY,0.0,2023-07-27,40800.0,0.05,15,CE,NFO-OPT,NFO
13536514,52877,BANKNIFTY23JUL40800PE,BANKNIFTY,0.0,2023-07-27,40800.0,0.05,15,PE,NFO-OPT,NFO
13536770,52878,BANKNIFTY23JUL40900CE,BANKNIFTY,0.0,2023-07-27,40900.0,0.05,15,CE,NFO-OPT,NFO
13537026,52879,BANKNIFTY23JUL40900PE,BANKNIFTY,0.0,2023-07-27,40900.0,0.05,15,PE,NFO-OPT,NFO
13537282,52880,BANKNIFTY23JUL41000CE,BANKNIFTY,0.0,2023-07-27,41000.0,0.05,15,CE,NFO-OPT,NFO
13537538,52881,BANKNIFTY23JUL41000PE,BANKNIFTY,0.0,2023-07-27,41000.0,0.05,15,PE,NFO-OPT,NFO
13537794,52882,BANKNIFTY23JUL41100CE,BANKNIFTY,0.0,2023-07-27,41100.0,0.05,15,CE,NFO-OPT,NFO
13538050,52883,BANKNIFTY23JUL41100PE,BANKNIFTY,0.0,2023-07-27,41100.0,0.05,15,PE,NFO-OPT,NFO
13538306,52884,BANKNIFTY23JUL41200CE,BANKNIFTY,0.0,2023-07-27,41200.0,0.05,15,CE,NFO-OPT,NFO
13538562,52885,BANKNIFTY23JUL41200PE,BANKNIFTY,0.0,2023-07-27,41200.0,0.05,15,PE,NFO-OPT,NFO
13538818,52886,BANKNIFTY23JUL41300CE,BANKNIFTY,0.0,2023-07-27,41300.0,0.05,15,CE,NFO-OPT,NFO
13539074,52887,BANKNIFTY23JUL41300PE,BANKNIFTY,0.0,2023-07-27,41300.0,0.05,15,PE,NFO-OPT,NFO
13539330,52888,BANKNIFTY23JUL41400CE,BANKNIFTY,0.0,2023-07-27,41400.0,0.05,15,CE,NFO-OPT,NFO
13539586,52889,BANKNIFTY23JUL41400PE,BANKNIFTY,0.0,2023-07-27,41400.0,0.05,15,PE,NFO-OPT,NFO
13539842,52890,BANKNIFTY23JUL41500CE,BANKNIFTY,0.0,2023-07-27,41500.0,0.05,15,CE,NFO-OPT,NFO
13540098,52891,BANKNIFTY23JUL41500PE,BANKNIFTY,0.0,2023-07-27,41500.0,0.05,15,PE,NFO-OPT,NFO
13540354,52892,BANKNIFTY23JUL41600CE,BANKNIFTY,0.0,2023-07-27,41600.0,0.05,15,CE,NFO-OPT,NFO
13540610,52893,BANKNIFTY23JUL41600PE,BANKNIFTY,0.0,2023-07-27,41600.0,0.05,15,PE,NFO-OPT,NFO
13540866,52894,BANKNIFTY23JUL41700CE,BANKNIFTY,0.0,2023-07-27,41700.0,0.05,15,CE,NFO-OPT,NFO
13541122,52895,BANKNIFTY23JUL41700PE,BANKNIFTY,0.0,2023-07-27,41700.0,0.05,15,PE,NFO-OPT,NFO
13541378,52896,BANKNIFTY23JUL41800CE,BANKNIFTY,0.0,2023-07-27,41800.0,0.05,15,CE,NFO-OPT,NFO
13541634,52897,BANKNIFTY23JUL41800PE,BANKNIFTY,0.0,2023-07-27,41800.0,0.05,15,PE,NFO-OPT,NFO
13541890,52898,BANKNIFTY23JUL41900CE,BANKNIFTY,0.0,2023-07-27,41900.0,0.05,15,CE,NFO-OPT,NFO
13542146,52899,BANKNIFTY23JUL41900PE,BANKNIFTY,0.0,2023-07-27,41900.0,0.05,15,PE,NFO-OPT,NFO
13542402,52900,BANKNIFTY23JUL42000CE,BANKNIFTY,0.0,2023-07-27,42000.0,0.05,15,CE,NFO-OPT,NFO
13542658,52901,BANKNIFTY23JUL42000PE,BANKNIFTY,0.0,2023-07-27,42000.0,0.05,15,PE,NFO-OPT,NFO
13542914,52902,BANKNIFTY23JUL42100CE,BANKNIFTY,0.0,2023-07-27,42100.0,0.05,15,CE,NFO-OPT,NFO
13543170,52903,BANKNIFTY23JUL42100PE,BANKNIFTY,0.0,2023-07-27,42100.0,0.05,15,PE,NFO-OPT,NFO
13543426,52904,BANKNIFTY23JUL42200CE,BANKNIFTY,0.0,2023-07-27,42200.0,0.05,15,CE,NFO-OPT,NFO
13543682,52905,BANKNIFTY23JUL42200PE,BANKNIFTY,0.0,2023-07-27,42200.0,0.05,15,PE,NFO-OPT,NFO
13543938,52906,BANKNIFTY23JUL42300CE,BANKNIFTY,0.0,2023-07-27,42300.0,0.05,15,CE,NFO-OPT,NFO
13544194,52907,BANKNIFTY23JUL42300PE,BANKNIFTY,0.0,2023-07-27,42300.0,0.05,15,PE,NFO-OPT,NFO
13544450,52908,BANKNIFTY23JUL42400CE,BANKNIFTY,0.0,2023-07-27,42400.0,0.05,15,CE,NFO-OPT,NFO
13544706,52909,BANKNIFTY23JUL42400PE,BANKNIFTY,0.0,2023-07-27,42400.0,0.05,15,PE,NFO-OPT,NFO
13544962,52910,BANKNIFTY23JUL42500CE,BANKNIFTY,0.0,2023-07-27,42500.0,0.05,15,CE,NFO-OPT,NFO
13545218,52911,BANKNIFTY23JUL42500PE,BANKNIFTY,0.0,2023-07-27,42500.0,0.05,15,PE,NFO-OPT,NFO
13545474,52912,BANKNIFTY23JUL42600CE,BANKNIFTY,0.0,2023-07-27,42600.0,0.05,15,CE,NFO-OPT,NFO
13545730,52913,BANKNIFTY23JUL42600PE,BANKNIFTY,0.0,2023-07-27,42600.0,0.05,15,PE,NFO-OPT,NFO
13545986,52914,BANKNIFTY23JUL42700CE,BANKNIFTY,0.0,2023-07-27,42700.0,0.05,15,CE,NFO-OPT,NFO
13546242,52915,BANKNIFTY23JUL42700PE,BANKNIFTY,0.0,2023-07-27,42700.0,0.05,15,PE,NFO-OPT,NFO
13546498,52916,BANKNIFTY23JUL42800CE,BANKNIFTY,0.0,2023-07-27,42800.0,0.05,15,CE,NFO-OPT,NFO
13546754,52917,BANKNIFTY23JUL42800PE,BANKNIFTY,0.0,2023-07-27,42800.0,0.05,15,PE,NFO-OPT,NFO
13547010,52918,BANKNIFTY23JUL42900CE,BANKNIFTY,0.0,2023-07-27,42900.0,0.05,15,CE,NFO-OPT,NFO
13547266,52919,BANKNIFTY23JUL42900PE,BANKNIFTY,0.0,2023-07-27,42900.0,0.05,15,PE,NFO-OPT,NFO
13547522,52920,BANKNIFTY23JUL43000CE,BANKNIFTY,0.0,2023-07-27,43000.0,0.05,15,CE,NFO-OPT,NFO
13547778,52921,BANKNIFTY23JUL43000PE,BANKNIFTY,0.0,2023-07-27,43000.0,0.05,15,PE,NFO-OPT,NFO
13548034,52922,BANKNIFTY23JUL43100CE,BANKNIFTY,0.0,2023-07-27,43100.0,0.05,15,CE,NFO-OPT,NFO
13548290,52923,BANKNIFTY23JUL43100PE,BANKNIFTY,0.0,2023-07-27,43100.0,0.05,15,PE,NFO-OPT,NFO
13548546,52924,BANKNIFTY23JUL43200CE,BANKNIFTY,0.0,2023-07-27,43200.0,0.05,15,CE,NFO-OPT,NFO
13548802,52925,BANKNIFTY23JUL43200PE,BANKNIFTY,0.0,2023-07-27,43200.0,0.05,15,PE,NFO-OPT,NFO
13549058,52926,BANKNIFTY23JUL43300CE,BANKNIFTY,0.0,2023-07-27,43300.0,0.05,15,CE,NFO-OPT,NFO
13549314,52927,BANKNIFTY23JUL43300PE,BANKNIFTY,0.0,2023-07-27,43300.0,0.05,15,PE,NFO-OPT,NFO
13549570,52928,BANKNIFTY23JUL43400CE,BANKNIFTY,0.0,2023-07-27,43400.0,0.05,15,CE,NFO-OPT,NFO
13549826,52929,BANKNIFTY23JUL43400PE,BANKNIFTY,0.0,2023-07-27,43400.0,0.05,15,PE,NFO-OPT,NFO
13550082,52930,BANKNIFTY23JUL43500CE,BANKNIFTY,0.0,2023-07-27,43500.0,0.05,15,CE,NFO-OPT,NFO
13550338,52931,BANKNIFTY23JUL43500PE,BANKNIFTY,0.0,2023-07-27,43500.0,0.05,15,PE,NFO-OPT,NFO
13550594,52932,BANKNIFTY23JUL43600CE,BANKNIFTY,0.0,2023-07-27,43600.0,0.05,15,CE,NFO-OPT,NFO
13550850,52933,BANKNIFTY23JUL43600PE,BANKNIFTY,0.0,2023-07-27,43600.0,0.05,15,PE,NFO-OPT,NFO
