instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8960514,35002,BANKNIFTY23JUNFUT,BANKNIFTY,0.0,2023-06-29,0.0,0.05,25,FUT,NFO-FUT,NFO
11357186,44364,BANKNIFTY2360836500CE,BANKNIFTY,0.0,2023-06-08,36500.0,0.05,25,CE,NFO-OPT,NFO
11357442,44365,BANKNIFTY2360836500PE,BANKNIFTY,0.0,2023-06-08,36500.0,0.05,25,PE,NFO-OPT,NFO
11357698,44366,BANKNIFTY2360837000CE,BANKNIFTY,0.0,2023-06-08,37000.0,0.05,25,CE,NFO-OPT,NFO
11357954,44367,BANKNIFTY2360837000PE,BANKNIFTY,0.0,2023-06-08,37000.0,0.05,25,PE,NFO-OPT,NFO
11361282,44380,BANKNIFTY2360837500CE,BANKNIFTY,0.0,2023-06-08,37500.0,0.05,25,CE,NFO-OPT,NFO
11361538,44381,BANKNIFTY2360837500PE,BANKNIFTY,0.0,2023-06-08,37500.0,0.05,25,PE,NFO-OPT,NFO
11363330,44388,BANKNIFTY2360838000CE,BANKNIFTY,0.0,2023-06-08,38000.0,0.05,25,CE,NFO-OPT,NFO
11364098,44391,BANKNIFTY2360838000PE,BANKNIFTY,0.0,2023-06-08,38000.0,0.05,25,PE,NFO-OPT,NFO
11365122,44395,BANKNIFTY2360838500CE,BANKNIFTY,0.0,2023-06-08,38500.0,0.05,25,CE,NFO-OPT,NFO
11365378,44396,BANKNIFTY2360838500PE,BANKNIFTY,0.0,2023-06-08,38500.0,0.05,25,PE,NFO-OPT,NFO
11371010,44418,BANKNIFTY2360839000CE,BANKNIFTY,0.0,2023-06-08,39000.0,0.05,25,CE,NFO-OPT,NFO
11371266,44419,BANKNIFTY2360839000PE,BANKNIFTY,0.0,2023-06-08,39000.0,0.05,25,PE,NFO-OPT,NFO
11376130,44438,BANKNIFTY2360839500CE,BANKNIFTY,0.0,2023-06-08,39500.0,0.05,25,CE,NFO-OPT,NFO
11376386,44439,BANKNIFTY2360839500PE,BANKNIFTY,0.0,2023-06-08,39500.0,0.05,25,PE,NFO-OPT,NFO
11381762,44460,BANKNIFTY2360840000CE,BANKNIFTY,0.0,2023-06-08,40000.0,0.05,25,CE,NFO-OPT,NFO
11382018,44461,BANKNIFTY2360840000PE,BANKNIFTY,0.0,2023-06-08,40000.0,0.05,25,PE,NFO-OPT,NFO
