instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8964610,35018,BANKNIFTY23APRFUT,BANKNIFTY,0.0,2023-04-27,0.0,0.05,25,FUT,NFO-FUT,NFO
9878018,38586,BANKNIFTY2340633500CE,BANKNIFTY,0.0,2023-04-06,33500.0,0.05,25,CE,NFO-OPT,NFO
9878274,38587,BANKNIFTY2340633500PE,BANKNIFTY,0.0,2023-04-06,33500.0,0.05,25,PE,NFO-OPT,NFO
9879554,38592,BANKNIFTY2340634000CE,BANKNIFTY,0.0,2023-04-06,34000.0,0.05,25,CE,NFO-OPT,NFO
9879810,38593,BANKNIFTY2340634000PE,BANKNIFTY,0.0,2023-04-06,34000.0,0.05,25,PE,NFO-OPT,NFO
9881602,38600,BANKNIFTY2340634500CE,BANKNIFTY,0.0,2023-04-06,34500.0,0.05,25,CE,NFO-OPT,NFO
9882370,38603,BANKNIFTY2340634500PE,BANKNIFTY,0.0,2023-04-06,34500.0,0.05,25,PE,NFO-OPT,NFO
9883138,38606,BANKNIFTY2340635000CE,BANKNIFTY,0.0,2023-04-06,35000.0,0.05,25,CE,NFO-OPT,NFO
9883394,38607,BANKNIFTY2340635000PE,BANKNIFTY,0.0,2023-04-06,35000.0,0.05,25,PE,NFO-OPT,NFO
9884162,38610,BANKNIFTY2340635500CE,BANKNIFTY,0.0,2023-04-06,35500.0,0.05,25,CE,NFO-OPT,NFO
9884418,38611,BANKNIFTY2340635500PE,BANKNIFTY,0.0,2023-04-06,35500.0,0.05,25,PE,NFO-OPT,NFO
9885186,38614,BANKNIFTY2340636000CE,BANKNIFTY,0.0,2023-04-06,36000.0,0.05,25,CE,NFO-OPT,NFO
9885442,38615,BANKNIFTY2340636000PE,BANKNIFTY,0.0,2023-04-06,36000.0,0.05,25,PE,NFO-OPT,NFO
9886210,38618,BANKNIFTY2340636500CE,BANKNIFTY,0.0,2023-04-06,36500.0,0.05,25,CE,NFO-OPT,NFO
9886466,38619,BANKNIFTY2340636500PE,BANKNIFTY,0.0,2023-04-06,36500.0,0.05,25,PE,NFO-OPT,NFO
9890818,38636,BANKNIFTY2340636900CE,BANKNIFTY,0.0,2023-04-06,36900.0,0.05,25,CE,NFO-OPT,NFO
9891074,38637,BANKNIFTY2340636900PE,BANKNIFTY,0.0,2023-04-06,36900.0,0.05,25,PE,NFO-OPT,NFO
9891842,38640,BANKNIFTY2340637000CE,BANKNIFTY,0.0,2023-04-06,37000.0,0.05,25,CE,NFO-OPT,NFO
9892098,38641,BANKNIFTY2340637000PE,BANKNIFTY,0.0,2023-04-06,37000.0,0.05,25,PE,NFO-OPT,NFO
9892354,38642,BANKNIFTY2340637100CE,BANKNIFTY,0.0,2023-04-06,37100.0,0.05,25,CE,NFO-OPT,NFO
9892610,38643,BANKNIFTY2340637100PE,BANKNIFTY,0.0,2023-04-06,37100.0,0.05,25,PE,NFO-OPT,NFO
9892866,38644,BANKNIFTY2340637200CE,BANKNIFTY,0.0,2023-04-06,37200.0,0.05,25,CE,NFO-OPT,NFO
