instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
9685250,37833,BANKNIFTY23MARFUT,BANKNIFTY,0.0,2023-03-29,0.0,0.05,25,FUT,NFO-FUT,NFO
13591042,53090,BANKNIFTY23MAR25500CE,BANKNIFTY,0.0,2023-03-29,25500.0,0.05,25,CE,NFO-OPT,NFO
13591298,53091,BANKNIFTY23MAR25500PE,BANKNIFTY,0.0,2023-03-29,25500.0,0.05,25,PE,NFO-OPT,NFO
10470914,40902,BANKNIFTY23MAR27000CE,BANKNIFTY,0.0,2023-03-29,27000.0,0.05,25,CE,NFO-OPT,NFO
10471170,40903,BANKNIFTY23MAR27000PE,BANKNIFTY,0.0,2023-03-29,27000.0,0.05,25,PE,NFO-OPT,NFO
14621442,57115,BANKNIFTY23MAR28500CE,BANKNIFTY,0.0,2023-03-29,28500.0,0.05,25,CE,NFO-OPT,NFO
14621698,57116,BANKNIFTY23MAR28500PE,BANKNIFTY,0.0,2023-03-29,28500.0,0.05,25,PE,NFO-OPT,NFO
14621954,57117,BANKNIFTY23MAR30000CE,BANKNIFTY,0.0,2023-03-29,30000.0,0.05,25,CE,NFO-OPT,NFO
14622210,57118,BANKNIFTY23MAR30000PE,BANKNIFTY,0.0,2023-03-29,30000.0,0.05,25,PE,NFO-OPT,NFO
14622466,57119,BANKNIFTY23MAR31500CE,BANKNIFTY,0.0,2023-03-29,31500.0,0.05,25,CE,NFO-OPT,NFO
14622722,57120,BANKNIFTY23MAR31500PE,BANKNIFTY,0.0,2023-03-29,31500.0,0.05,25,PE,NFO-OPT,NFO
14622978,57121,BANKNIFTY23MAR33000CE,BANKNIFTY,0.0,2023-03-29,33000.0,0.05,25,CE,NFO-OPT,NFO
14623234,57122,BANKNIFTY23MAR33000PE,BANKNIFTY,0.0,2023-03-29,33000.0,0.05,25,PE,NFO-OPT,NFO
13458434,52572,BANKNIFTY23MAR33500CE,BANKNIFTY,0.0,2023-03-29,33500.0,0.05,25,CE,NFO-OPT,NFO
13458690,52573,BANKNIFTY23MAR33500PE,BANKNIFTY,0.0,2023-03-29,33500.0,0.05,25,PE,NFO-OPT,NFO
13460482,52580,BANKNIFTY23MAR34000CE,BANKNIFTY,0.0,2023-03-29,34000.0,0.05,25,CE,NFO-OPT,NFO
13460738,52581,BANKNIFTY23MAR34000PE,BANKNIFTY,0.0,2023-03-29,34000.0,0.05,25,PE,NFO-OPT,NFO
14623490,57123,BANKNIFTY23MAR34500CE,BANKNIFTY,0.0,2023-03-29,34500.0,0.05,25,CE,NFO-OPT,NFO
14623746,57124,BANKNIFTY23MAR34500PE,BANKNIFTY,0.0,2023-03-29,34500.0,0.05,25,PE,NFO-OPT,NFO
13462530,52588,BANKNIFTY23MAR35000CE,BANKNIFTY,0.0,2023-03-29,35000.0,0.05,25,CE,NFO-OPT,NFO
13462786,52589,BANKNIFTY23MAR35000PE,BANKNIFTY,0.0,2023-03-29,35000.0,0.05,25,PE,NFO-OPT,NFO
13463042,52590,BANKNIFTY23MAR35500CE,BANKNIFTY,0.0,2023-03-29,35500.0,0.05,25,CE,NFO-OPT,NFO
13463298,52591,BANKNIFTY23MAR35500PE,BANKNIFTY,0.0,2023-03-29,35500.0,0.05,25,PE,NFO-OPT,NFO
14624002,57125,BANKNIFTY23MAR36000CE,BANKNIFTY,0.0,2023-03-29,36000.0,0.05,25,CE,NFO-OPT,NFO
14624258,57126,BANKNIFTY23MAR36000PE,BANKNIFTY,0.0,2023-03-29,36000.0,0.05,25,PE,NFO-OPT,NFO
13464578,52596,BANKNIFTY23MAR36500CE,BANKNIFTY,0.0,2023-03-29,36500.0,0.05,25,CE,NFO-OPT,NFO
13464834,52597,BANKNIFTY23MAR36500PE,BANKNIFTY,0.0,2023-03-29,36500.0,0.05,25,PE,NFO-OPT,NFO
13465602,52600,BANKNIFTY23MAR37000CE,BANKNIFTY,0.0,2023-03-29,37000.0,0.05,25,CE,NFO-OPT,NFO
13465858,52601,BANKNIFTY23MAR37000PE,BANKNIFTY,0.0,2023-03-29,37000.0,0.05,25,PE,NFO-OPT,NFO
9066498,35416,BANKNIFTY23MAR37100CE,BANKNIFTY,0.0,2023-03-29,37100.0,0.05,25,CE,NFO-OPT,NFO
9066754,35417,BANKNIFTY23MAR37100PE,BANKNIFTY,0.0,2023-03-29,37100.0,0.05,25,PE,NFO-OPT,NFO
9067010,35418,BANKNIFTY23MAR37200CE,BANKNIFTY,0.0,2023-03-29,37200.0,0.05,25,CE,NFO-OPT,NFO
9067266,35419,BANKNIFTY23MAR37200PE,BANKNIFTY,0.0,2023-03-29,37200.0,0.05,25,PE,NFO-OPT,NFO
9067778,35421,BANKNIFTY23MAR37300CE,BANKNIFTY,0.0,2023-03-29,37300.0,0.05,25,CE,NFO-OPT,NFO
9068034,35422,BANKNIFTY23MAR37300PE,BANKNIFTY,0.0,2023-03-29,37300.0,0.05,25,PE,NFO-OPT,NFO
9068290,35423,BANKNIFTY23MAR37400CE,BANKNIFTY,0.0,2023-03-29,37400.0,0.05,25,CE,NFO-OPT,NFO
9068546,35424,BANKNIFTY23MAR37400PE,BANKNIFTY,0.0,2023-03-29,37400.0,0.05,25,PE,NFO-OPT,NFO
14624514,57127,BANKNIFTY23MAR37500CE,BANKNIFTY,0.0,2023-03-29,37500.0,0.05,25,CE,NFO-OPT,NFO
14624770,57128,BANKNIFTY23MAR37500PE,BANKNIFTY,0.0,2023-03-29,37500.0,0.05,25,PE,NFO-OPT,NFO
13612802,53175,BANKNIFTY23MAR37600CE,BANKNIFTY,0.0,2023-03-29,37600.0,0.05,25,CE,NFO-OPT,NFO
13613058,53176,BANKNIFTY23MAR37600PE,BANKNIFTY,0.0,2023-03-29,37600.0,0.05,25,PE,NFO-OPT,NFO
