ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
9507842,long,bounce,BANKNIFTY2372044600CE,150,2023-07-17 09:22:20.527701,357.8,2023-07-17 09:25:53.310119,348.675,-1368.75,356.4,348.8,342.31,365.45,348.8,,,False
9513218,short,bounce,BANKNIFTY2372045000PE,175,2023-07-17 09:45:11.073768,312.93,2023-07-17 09:46:01.178923,300.65,-2149.0,311.55,299.35,300.01,315.0,299.35,,,False
9513218,short,bounce,BANKNIFTY2372045000PE,250,2023-07-17 10:05:09.872734,281.94,2023-07-17 10:05:14.473814,281.275,-166.25,280.95,280.75,263.58,282.15,280.1,,,False
9513218,short,bounce,BANKNIFTY2372045000PE,275,2023-07-17 10:05:16.101740,284.01,2023-07-17 10:05:22.869620,280.02272727,-1096.5,282.05,281.1,265.83,283.95,280.9,,,False
9516034,short,bounce,BANKNIFTY2372045100PE,100,2023-07-17 10:05:32.092073,341.4,2023-07-17 10:09:35.026749,341.75,35.0,342.9,342.0,321.33,350.0,333.3,,,False
9513218,short,bounce,BANKNIFTY2372045000PE,175,2023-07-17 12:23:50.982756,308.7,2023-07-17 12:27:06.130924,296.92857143000003,-2060.0,308.5,297.5,296.06,312.25,297.15,,,False
9513218,short,bounce,BANKNIFTY2372045000PE,125,2023-07-17 12:50:45.066122,278.69,2023-07-17 12:58:06.288070,266.25,-1555.0,276.5,266.9,260.42,286.8,265.25,,,False
