ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
18624258,short,bounce,BANKNIFTY23MAY43800PE,125,2023-05-25 09:25:51.983458,216.43,2023-05-25 09:29:25.295508,265.55,6140.0,216.6,264.5,176,274.15,215.15,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,150,2023-05-25 09:47:27.935330,172.9,2023-05-25 09:55:18.517516,163.125,-1466.25,173.25,167.8,140,207.75,167.8,,,False
18621954,long,bounce,BANKNIFTY23MAY43400CE,100,2023-05-25 10:09:17.634606,189.95,2023-05-25 10:09:36.951558,187.025,-292.5,187.45,187.6,137,196.5,186.05,,,False
18623234,short,bounce,BANKNIFTY23MAY43600PE,100,2023-05-25 10:09:39.744315,136.65,2023-05-25 11:59:50.272329,123.825,-1282.5,138.95,124.65,96,176.5,108.4,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,75,2023-05-25 12:19:09.910671,134.8,2023-05-25 12:24:25.596891,130.4,-330.0,134.05,130.8,81,138.35,122.75,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,250,2023-05-25 12:25:09.286427,138.9,2023-05-25 12:30:15.389486,118.45,-5112.5,138.45,117.25,118,144.2,117.25,,,False
18623746,short,bounce,BANKNIFTY23MAY43700PE,275,2023-05-25 12:30:35.112876,176.81,2023-05-25 12:32:10.167929,180.8,1097.25,177.4,180.85,160,185.4,169.6,,,False
18621954,long,bounce,BANKNIFTY23MAY43400CE,400,2023-05-25 12:52:48.749765,180.12,2023-05-25 12:55:04.061442,166.190625,-5571.75,178.7,166.6,166,184.45,166.6,,,False
18623234,short,bounce,BANKNIFTY23MAY43600PE,175,2023-05-25 12:55:49.358577,125.89,2023-05-25 12:56:59.425748,137.2,1979.25,126.0,139.55,100,148.8,125.2,,,False
18621954,long,bounce,BANKNIFTY23MAY43400CE,250,2023-05-25 12:57:07.325164,136.79,2023-05-25 12:57:14.367890,133.4,-847.5,135.05,134.75,116,136.95,134.75,,,False
18622722,short,bounce,BANKNIFTY23MAY43500PE,325,2023-05-25 13:03:14.093308,104.4,2023-05-25 13:05:25.148015,103.66153845999999,-240.0,106.25,104.0,91,116.6,100.8,,,False
18623234,short,bounce,BANKNIFTY23MAY43600PE,275,2023-05-25 13:09:29.028209,165.56,2023-05-25 13:12:20.525564,145.27272727,-5579.0,164.35,145.15,146,167.8,145.15,,,False
18622722,short,bounce,BANKNIFTY23MAY43500PE,175,2023-05-25 13:23:45.366301,107.86,2023-05-25 13:33:29.883645,131.3,4102.0,108.75,131.65,81,136.3,84.85,,,False
18621442,long,bounce,BANKNIFTY23MAY43300CE,350,2023-05-25 13:46:42.526487,165.01,2023-05-25 13:47:07.662648,162.64642857,-827.25,165.6,163.8,151,169.95,163.45,,,False
18622722,short,bounce,BANKNIFTY23MAY43500PE,275,2023-05-25 13:50:10.491330,101.46,2023-05-25 13:53:30.525435,83.66818182000002,-4892.75,104.55,84.95,86,104.15,84.95,,,False
18622722,short,bounce,BANKNIFTY23MAY43500PE,375,2023-05-25 14:01:34.921746,98.67,2023-05-25 14:02:10.214033,112.97,5362.5,98.9,115.25,85,115.25,89.85,,,False
18621954,long,bounce,BANKNIFTY23MAY43400CE,200,2023-05-25 14:10:19.042591,112.99,2023-05-25 14:13:16.261718,136.45,4692.0,112.7,135.45,89,136.85,108.15,,,False
18621954,long,bounce,BANKNIFTY23MAY43400CE,275,2023-05-25 14:18:39.688969,115.68,2023-05-25 14:19:35.392041,131.72272727,4411.75,113.75,132.85,95,132.85,115.25,,,False
