ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
11441922,long,bounce,BANKNIFTY2360844100CE,350,2023-06-05 09:19:37.014565,286.38,2023-06-05 09:20:15.748657,292.99285714,2314.5,284.8,293.4,272.2,297.95,285.0,,,False
11441922,long,bounce,BANKNIFTY2360844100CE,175,2023-06-05 09:46:01.670178,319.27,2023-06-05 09:48:46.387296,320.34285714000004,187.75,320.75,322.05,293.94,330.9,317.45,,,False
11441922,long,bounce,BANKNIFTY2360844100CE,175,2023-06-05 09:48:58.980961,324.9,2023-06-05 09:52:45.006586,320.25,-813.75,324.45,320.45,299.87,328.6,314.25,,,False
11444738,short,bounce,BANKNIFTY2360844300PE,475,2023-06-05 10:37:22.890568,258.72,2023-06-05 10:40:05.568758,263.79473684,2410.5,256.25,263.6,248.27,265.6,258.05,,,False
11444738,short,bounce,BANKNIFTY2360844300PE,650,2023-06-05 13:18:24.795284,237.36,2023-06-05 13:19:40.971306,230.26153846,-4614.0,238.35,233.5,229.68,241.65,233.5,,,False
11441922,long,bounce,BANKNIFTY2360844100CE,500,2023-06-05 13:23:47.320395,318.78,2023-06-05 13:23:57.943968,315.0075,-1886.25,318.95,315.15,308.96,319.65,315.15,,,False
11441922,long,bounce,BANKNIFTY2360844100CE,500,2023-06-05 13:56:44.983862,319.7,2023-06-05 13:57:48.029482,321.2425,771.25,320.25,321.6,309.83,326.9,319.0,,,False
11444738,short,bounce,BANKNIFTY2360844300PE,650,2023-06-05 14:07:12.245775,237.27,2023-06-05 14:07:32.468790,233.28653846,-2589.25,236.05,232.5,229.75,240.15,232.5,,,False
11444738,short,bounce,BANKNIFTY2360844300PE,550,2023-06-05 14:30:46.118271,221.56,2023-06-05 14:31:42.518356,227.62727273000002,3337.0,221.6,228.0,212.62,228.4,217.8,,,False
11443714,short,bounce,BANKNIFTY2360844200PE,500,2023-06-05 15:14:54.980459,199.96,2023-06-05 15:15:13.853943,186.4625,-6748.75,200.4,189.25,190.04,200.6,189.25,,,False
