ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
12832258,long,bounce,BANKNIFTY2360144100CE,225,2023-05-31 09:18:09.883692,247.58,2023-05-31 09:19:59.719808,233.52222222,-3163.0,247.7,235.75,227.17,256.45,235.75,,,False
12833538,short,bounce,BANKNIFTY2360144300PE,250,2023-05-31 09:23:24.224634,205.35,2023-05-31 09:25:17.290584,222.365,4253.75,203.25,223.8,185.93,224.2,205.2,,,False
12833026,short,bounce,BANKNIFTY2360144200PE,275,2023-05-31 11:01:14.611052,152.51,2023-05-31 11:09:32.195566,156.0,959.75,153.0,156.0,134.88,165.3,152.25,,,False
12832002,short,bounce,BANKNIFTY2360144000PE,425,2023-05-31 12:36:46.525827,200.64,2023-05-31 12:38:48.847332,192.62941176,-3404.5,200.95,192.7,189.28,204.55,192.7,,,False
12832002,short,bounce,BANKNIFTY2360144000PE,400,2023-05-31 12:58:18.560953,194.65,2023-05-31 12:59:03.267799,187.078125,-3028.75,195.1,186.7,182.57,200.0,186.7,,,False
12832002,short,bounce,BANKNIFTY2360144000PE,425,2023-05-31 13:00:16.103894,180.09,2023-05-31 13:00:58.353051,181.05882353,411.75,179.6,180.3,168.65,183.7,177.35,,,False
12832002,short,bounce,BANKNIFTY2360144000PE,400,2023-05-31 13:20:58.076755,182.92,2023-05-31 13:21:39.426096,186.478125,1423.25,182.0,186.6,170.58,190.6,182.0,,,False
12830722,long,bounce,BANKNIFTY2360143800CE,425,2023-05-31 14:13:03.585978,273.16,2023-05-31 14:14:07.500399,257.21176471,-6778.0,270.15,259.45,261.96,274.55,259.45,,,False
12831234,long,bounce,BANKNIFTY2360143900CE,475,2023-05-31 15:02:46.077367,231.92,2023-05-31 15:03:38.253876,239.11578947,3418.0,232.65,238.9,221.46,241.3,225.15,,,False
