ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 09:18:00.303386,19.05,2023-05-30 09:18:18.434152,19.5,11.25,18.6,19.7,16.97,19.8,18.85,,,True
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 09:18:27.527452,20.0,2023-05-30 09:19:08.577227,18.75,-31.25,19.7,18.8,11.22,20.25,18.75,,,True
12832770,long,bounce,BANKNIFTY2360144200CE,600,2023-05-30 09:22:46.173490,271.31,2023-05-30 09:23:51.130421,284.34583333,7821.5,269.7,284.0,261.65,284.0,269.7,,,False
12833282,long,bounce,BANKNIFTY2360144300CE,375,2023-05-30 09:30:28.835187,242.8,2023-05-30 09:31:03.927377,253.24333333,3916.25,242.95,252.2,229.84,252.2,238.9,,,False
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 11:47:29.613322,14.0,2023-05-30 11:47:48.738357,14.05,1.25,14.0,14.05,12.59,14.15,13.9,,,True
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 11:47:50.693913,14.1,2023-05-30 11:47:57.408387,14.1,0.0,14.05,14.05,12.68,14.1,14.05,,,True
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 11:56:41.394541,13.65,2023-05-30 11:58:12.172621,13.3,-8.75,13.65,13.3,13.31,13.65,13.3,,,True
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 12:14:38.043513,12.75,2023-05-30 12:16:09.970503,12.95,5.0,12.7,12.95,12.43,13.25,12.7,,,True
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 12:16:14.003849,12.95,2023-05-30 12:16:30.298355,12.85,-2.5,12.95,12.95,11.64,12.95,12.95,,,True
12838658,long,bounce,BANKNIFTY2360145000CE,25,2023-05-30 12:20:15.021003,12.95,2023-05-30 12:23:38.830489,12.8,-3.75,12.9,12.85,11.64,12.95,12.65,,,True
