ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
18624002,long,bounce,BANKNIFTY23MAY43800CE,150,2023-05-23 09:15:50.211251,289.68,2023-05-23 09:18:44.128723,300.0,1548.0,287.0,300.6,258,305.4,280.0,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,350,2023-05-23 09:34:53.046258,256.15,2023-05-23 09:35:48.527058,248.19642857,-2783.75,257.0,248.05,243,263.05,248.05,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,550,2023-05-23 09:56:28.564946,275.66,2023-05-23 09:58:12.356412,272.37045455,-1809.25,274.85,271.45,265,277.45,270.5,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,450,2023-05-23 10:01:15.889332,279.52,2023-05-23 10:04:59.209918,275.00277778,-2032.75,279.4,274.0,268,285.35,274.0,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,375,2023-05-23 10:17:16.194683,258.49,2023-05-23 10:23:02.637251,256.70333332999996,-670.0,259.3,255.7,246,267.5,253.2,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,325,2023-05-23 10:29:03.645614,262.24,2023-05-23 10:29:44.178108,262.44230769,65.75,261.8,262.15,246,264.65,260.35,,,False
18627330,long,bounce,BANKNIFTY23MAY44000CE,550,2023-05-23 10:50:19.553598,226.45,2023-05-23 10:51:01.568692,224.33181818,-1165.0,227.15,224.7,218,226.5,221.35,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,700,2023-05-23 11:04:18.153963,234.57,2023-05-23 11:07:16.460919,229.0,-3899.0,234.7,230.0,227,237.55,230.0,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,800,2023-05-23 11:21:00.082336,242.18,2023-05-23 11:22:36.983736,238.58125,-2879.0,241.75,237.6,236,244.3,237.6,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,625,2023-05-23 11:27:01.037295,245.83,2023-05-23 11:32:16.010759,251.332,3438.75,246.2,252.0,238,253.7,240.05,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,325,2023-05-23 11:51:29.962062,261.31,2023-05-23 11:57:05.178837,251.24615385,-3270.75,260.1,250.9,245,262.7,250.9,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,350,2023-05-23 12:08:00.693317,252.6,2023-05-23 12:15:48.767888,262.7,3535.0,251.85,263.4,237,264.3,241.2,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,625,2023-05-23 12:43:19.561663,269.2,2023-05-23 12:43:42.747648,277.336,5085.0,268.0,277.0,260,277.2,268.55,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,325,2023-05-23 12:46:06.197655,264.51,2023-05-23 12:47:34.188126,279.68461537999997,4931.75,263.4,280.65,248,281.95,261.5,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,500,2023-05-23 13:16:19.775360,240.68,2023-05-23 13:17:41.183104,245.0,2160.0,241.5,245.95,231,247.8,238.55,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,500,2023-05-23 13:25:11.875230,267.27,2023-05-23 13:28:48.983457,271.6,2165.0,266.85,272.45,256,274.55,262.05,,,False
18627330,long,bounce,BANKNIFTY23MAY44000CE,375,2023-05-23 13:50:24.532496,216.94,2023-05-23 13:57:50.887658,207.11666667,-3683.75,216.5,206.9,203,222.95,206.9,,,False
18627330,long,bounce,BANKNIFTY23MAY44000CE,700,2023-05-23 14:06:09.655431,215.46,2023-05-23 14:06:50.663252,215.28214286,-124.5,213.9,215.65,206,217.55,214.45,,,False
18627330,long,bounce,BANKNIFTY23MAY44000CE,625,2023-05-23 14:21:17.676487,219.84,2023-05-23 14:22:49.609139,212.59599999999998,-4527.5,221.65,212.45,213,221.15,212.45,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,625,2023-05-23 14:44:29.161451,224.12,2023-05-23 14:46:15.998153,229.61599999999999,3435.0,225.75,229.4,217,231.3,220.0,,,False
18624514,long,bounce,BANKNIFTY23MAY43900CE,375,2023-05-23 15:02:18.617448,262.24,2023-05-23 15:02:53.179862,244.3,-6727.5,260.55,246.25,247,262.5,246.25,,,False
9210370,short,bounce,BANKNIFTY23MAY44100PE,200,2023-05-23 15:03:30.479584,222.69,2023-05-23 15:07:53.662223,240.04375,3470.75,222.85,241.1,199,245.35,216.8,,,False
