ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
9508354,long,bounce,BANKNIFTY2372044700CE,150,2023-07-14 10:00:09.039566,316.5,2023-07-14 10:06:03.962712,309.35833333,-1071.25,313.65,309.05,300.61,327.35,309.05,,,False
9512194,short,bounce,BANKNIFTY2372044900PE,250,2023-07-14 10:13:04.685748,283.84,2023-07-14 10:14:49.701443,291.09,1812.5,285.4,291.35,274.42,291.35,283.3,,,False
9507842,long,bounce,BANKNIFTY2372044600CE,100,2023-07-14 10:45:08.221605,340.25,2023-07-14 10:57:02.017559,353.9875,1373.75,340.1,354.5,315.98,355.0,325.0,,,False
9507842,long,bounce,BANKNIFTY2372044600CE,200,2023-07-14 11:40:23.940728,347.98,2023-07-14 11:41:29.243797,340.6625,-1463.5,347.45,340.95,335.92,354.3,340.95,,,False
9507842,long,bounce,BANKNIFTY2372044600CE,100,2023-07-14 11:46:01.307114,332.6,2023-07-14 11:58:36.189297,334.925,232.5,332.55,335.5,308.88,345.0,325.55,,,False
9512194,short,bounce,BANKNIFTY2372044900PE,225,2023-07-14 12:38:38.743160,310.23,2023-07-14 12:39:29.873062,318.03333333,1755.75,309.7,318.6,299.14,320.0,308.45,,,False
9507842,long,bounce,BANKNIFTY2372044600CE,175,2023-07-14 13:34:38.156808,320.74,2023-07-14 13:39:03.339239,321.51428571,135.5,321.2,322.1,307.77,325.45,316.3,"early_exit, fol",,False
9509122,short,bounce,BANKNIFTY2372044700PE,200,2023-07-14 13:51:01.158282,263.37,2023-07-14 13:51:41.936209,264.5,226.0,258.55,264.35,251.58,269.45,258.55,"early_exit, fol",,False
9507842,long,bounce,BANKNIFTY2372044600CE,175,2023-07-14 14:07:19.370968,315.7,2023-07-14 14:07:43.606501,301.3,-2520.0,315.7,301.3,302.54,316.65,301.3,,,False
9509122,short,bounce,BANKNIFTY2372044700PE,200,2023-07-14 14:57:30.831789,225.7,2023-07-14 14:57:40.768815,232.68125,1396.25,227.25,237.6,214.28,237.6,225.5,spike,,False
9510658,short,bounce,BANKNIFTY2372044800PE,225,2023-07-14 15:00:08.200088,249.44,2023-07-14 15:00:31.405032,233.32222222000001,-3626.5,248.25,237.2,238.68,250.85,237.2,spike_entry,,False
9513218,short,bounce,BANKNIFTY2372045000PE,125,2023-07-14 15:21:24.391908,275.69,2023-07-14 15:22:09.715676,275.28,-51.25,277.4,275.25,258.83,277.7,269.7,closing_bell_entry,,False
