ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
10209794,long,bounce,BANKNIFTY2351143100CE,100,2023-05-10 09:17:42.711350,281.35,2023-05-10 09:17:43.131720,283.85,250.0,,,False
10208258,long,bounce,BANKNIFTY2351143000CE,175,2023-05-10 09:24:54.992430,345.85,2023-05-10 09:30:07.416671,305.35,-7087.5,,,False
10210562,short,bounce,BANKNIFTY2351143200PE,500,2023-05-10 09:49:43.927791,268.9,2023-05-10 09:50:06.913995,252.35,-8275.0,,,False
10210050,short,bounce,BANKNIFTY2351143100PE,325,2023-05-10 10:02:13.953760,300.65,2023-05-10 10:04:00.960587,322.25,7020.0,,,False
10210050,short,bounce,BANKNIFTY2351143100PE,525,2023-05-10 10:06:13.122395,338.95,2023-05-10 10:06:30.644664,331.3,-4016.25,,,False
10208258,long,bounce,BANKNIFTY2351143000CE,450,2023-05-10 11:36:31.847612,286.35,2023-05-10 11:37:26.804035,285.75,-270.0,,,False
10208258,long,bounce,BANKNIFTY2351143000CE,50,2023-05-10 11:51:23.944611,332.2,2023-05-10 11:51:24.688172,332.55,17.5,,,False
10208258,long,bounce,BANKNIFTY2351143000CE,500,2023-05-10 11:55:10.290951,316.0,2023-05-10 11:56:27.868859,328.6,6300.0,,,False
10212354,short,bounce,BANKNIFTY2351143400PE,800,2023-05-10 12:23:20.020709,276.55,2023-05-10 12:23:20.854117,276.6,40.0,,,False
10212354,short,bounce,BANKNIFTY2351143400PE,800,2023-05-10 13:03:33.441140,266.05,2023-05-10 13:03:41.948181,271.95,4720.0,,,False
10209794,long,bounce,BANKNIFTY2351143100CE,675,2023-05-10 13:16:32.630346,261.55,2023-05-10 13:18:45.559470,260.0,-1046.25,,,False
10211074,short,bounce,BANKNIFTY2351143300PE,375,2023-05-10 13:40:04.319994,267.5,2023-05-10 13:40:31.899052,245.6,-8212.5,,,False
10207746,long,bounce,BANKNIFTY2351142900CE,450,2023-05-10 13:42:06.086367,320.65,2023-05-10 13:42:16.991532,301.85,-8460.0,,,False
10208258,long,bounce,BANKNIFTY2351143000CE,225,2023-05-10 14:05:14.934595,296.8,2023-05-10 14:12:08.242013,324.35,6198.75,,,False
10209794,long,bounce,BANKNIFTY2351143100CE,275,2023-05-10 14:17:23.458359,309.0,2023-05-10 14:22:57.198431,281.05,-7686.25,,,False
10212354,short,bounce,BANKNIFTY2351143400PE,800,2023-05-10 14:48:56.628213,253.0,2023-05-10 14:49:18.710719,245.0,-6400.0,,,False
