ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
14555394,short,bounce,BANKNIFTY2350443600PE,750,2023-05-04 11:36:54.693676,235.15,2023-05-04 11:38:27.049965,225.0,-7612.5,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,750,2023-05-04 11:46:01.930922,212.95,2023-05-04 11:46:55.021419,201.9,-8287.5,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,675,2023-05-04 12:17:23.449960,233.4,2023-05-04 12:18:15.480991,222.0,-7695.0,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,625,2023-05-04 12:35:00.396375,208.05,2023-05-04 12:38:53.618304,218.0,6218.75,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,625,2023-05-04 13:08:13.410795,249.7,2023-05-04 13:14:26.312789,239.75,-6218.75,,,False
14553602,long,bounce,BANKNIFTY2350443300CE,625,2023-05-04 14:28:11.839473,196.9,2023-05-04 14:30:43.272828,201.55,2906.25,,,False
