ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
12495618,short,bounce,BANKNIFTY2341341500PE,800,2023-04-12 09:33:42.024283,197.55,2023-04-12 09:35:09.713189,188.05,-7600.0,,,False
12493826,long,bounce,BANKNIFTY2341341300CE,750,2023-04-12 09:41:46.973448,224.6,2023-04-12 09:44:00.083487,231.9,5475.0,,,False
12496642,short,bounce,BANKNIFTY2341341700PE,675,2023-04-12 11:01:07.255541,295.05,2023-04-12 11:06:21.141927,301.5,4353.75,,,False
12493826,long,bounce,BANKNIFTY2341341300CE,675,2023-04-12 12:01:04.189391,236.55,2023-04-12 12:05:06.135875,233.75,-1890.0,,,False
12496642,short,bounce,BANKNIFTY2341341700PE,800,2023-04-12 12:21:33.429957,299.0,2023-04-12 12:22:21.212576,296.9,-1680.0,,,False
12496642,short,bounce,BANKNIFTY2341341700PE,675,2023-04-12 12:26:04.168649,293.35,2023-04-12 12:30:46.077787,298.0,3138.75,,,False
12494338,long,bounce,BANKNIFTY2341341400CE,425,2023-04-12 13:41:31.893627,230.25,2023-04-12 13:45:56.032675,230.95,297.5,,,False
12493826,long,bounce,BANKNIFTY2341341300CE,175,2023-04-12 13:52:24.797266,286.85,2023-04-12 14:18:46.330366,269.6,-3018.75,,,False
12496642,short,bounce,BANKNIFTY2341341700PE,450,2023-04-12 14:37:46.997441,255.0,2023-04-12 14:38:24.534823,261.3,2835.0,,,False
12493826,long,bounce,BANKNIFTY2341341300CE,325,2023-04-12 14:51:13.556284,259.6,2023-04-12 14:58:57.519808,267.15,2453.75,,,False
