ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
9928706,long,bounce,BANKNIFTY2340640400CE,750,2023-03-31 10:05:11.287313,390.6,2023-03-31 10:06:05.551413,380.0,-7950.0,,,False
9928194,long,bounce,BANKNIFTY2340640300CE,425,2023-03-31 10:13:27.420841,426.55,2023-03-31 10:20:58.381257,408.95,-7480.0,,,False
9928194,long,bounce,BANKNIFTY2340640300CE,625,2023-03-31 10:30:04.474545,411.0,2023-03-31 10:30:17.637775,398.05,-8093.75,,,False
9928194,long,bounce,BANKNIFTY2340640300CE,675,2023-03-31 10:54:05.605697,397.15,2023-03-31 10:54:50.928564,408.75,7830.0,,,False
9928194,long,bounce,BANKNIFTY2340640300CE,400,2023-03-31 11:04:20.319062,398.1,2023-03-31 11:05:51.149145,395.55,-1020.0,,,False
9929986,short,bounce,BANKNIFTY2340640600PE,800,2023-03-31 11:39:10.686672,357.0,2023-03-31 11:40:04.945921,349.05,-6360.0,,,False
9929986,short,bounce,BANKNIFTY2340640600PE,675,2023-03-31 11:42:31.195143,338.75,2023-03-31 11:43:30.041048,348.85,6817.5,,,False
9929986,short,bounce,BANKNIFTY2340640600PE,675,2023-03-31 12:19:39.153363,346.9,2023-03-31 12:20:05.369380,355.05,5501.25,,,False
9928706,long,bounce,BANKNIFTY2340640400CE,675,2023-03-31 12:45:34.059644,401.8,2023-03-31 12:45:37.851739,400.8,-675.0,,,False
9928706,long,bounce,BANKNIFTY2340640400CE,675,2023-03-31 12:45:40.641640,402.05,2023-03-31 12:47:19.976949,390.75,-7627.5,,,False
9928706,long,bounce,BANKNIFTY2340640400CE,750,2023-03-31 12:56:47.163418,378.55,2023-03-31 12:57:40.033903,388.2,7237.5,,,False
9929218,long,bounce,BANKNIFTY2340640500CE,575,2023-03-31 14:00:35.244996,355.45,2023-03-31 14:01:33.574069,366.7,6468.75,,,False
9929218,long,bounce,BANKNIFTY2340640500CE,675,2023-03-31 14:25:31.103734,364.45,2023-03-31 14:26:31.136543,366.95,1687.5,,,False
9929218,long,bounce,BANKNIFTY2340640500CE,400,2023-03-31 14:50:11.643686,389.3,2023-03-31 14:52:10.806721,367.4,-8760.0,,,False
9929218,long,bounce,BANKNIFTY2340640500CE,400,2023-03-31 15:17:15.535739,346.6,2023-03-31 15:18:28.285053,340.15,-2580.0,,,False
9929986,short,bounce,BANKNIFTY2340640600PE,750,2023-03-31 15:20:56.706619,324.0,2023-03-31 15:22:23.402043,313.7,-7725.0,,,False
