ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
14555394,short,bounce,BANKNIFTY2350443600PE,800,2023-05-02 09:52:56.426285,309.85,2023-05-02 09:52:57.097041,309.6,-200.0,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,800,2023-05-02 09:53:01.021817,306.65,2023-05-02 09:53:18.216414,311.65,4000.0,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,800,2023-05-02 10:36:36.600673,303.55,2023-05-02 10:36:55.755257,309.0,4360.0,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,575,2023-05-02 10:54:06.726295,321.15,2023-05-02 10:54:07.379685,319.8,-776.25,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,575,2023-05-02 10:54:22.380679,318.15,2023-05-02 10:56:39.495432,305.0,-7561.25,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,750,2023-05-02 11:06:04.736394,309.6,2023-05-02 11:09:02.209815,307.75,-1387.5,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,525,2023-05-02 11:10:34.894064,299.35,2023-05-02 11:17:13.062351,311.8,6536.25,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,750,2023-05-02 11:33:14.943334,323.55,2023-05-02 11:34:25.074675,330.75,5400.0,,,False
14553602,long,bounce,BANKNIFTY2350443300CE,800,2023-05-02 11:53:22.981258,274.85,2023-05-02 11:53:53.881264,275.4,440.0,,,False
14553602,long,bounce,BANKNIFTY2350443300CE,800,2023-05-02 12:21:54.680166,272.6,2023-05-02 12:22:45.573125,268.75,-3080.0,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,800,2023-05-02 12:47:11.477495,283.7,2023-05-02 12:48:46.053830,283.25,-360.0,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,800,2023-05-02 13:14:10.842442,291.2,2023-05-02 13:14:39.043827,297.6,5120.0,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,800,2023-05-02 13:23:10.484823,321.0,2023-05-02 13:25:12.588355,318.05,-2360.0,,,False
14555394,short,bounce,BANKNIFTY2350443600PE,675,2023-05-02 13:33:49.711191,295.75,2023-05-02 13:36:04.818506,305.0,6243.75,,,False
14553090,long,bounce,BANKNIFTY2350443200CE,525,2023-05-02 14:05:51.730129,315.0,2023-05-02 14:08:27.130553,326.7,6142.5,,,False
