ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
10210818,long,bounce,BANKNIFTY2351143300CE,100,2023-05-09 09:21:58.054661,319.0,2023-05-09 09:21:58.500659,319.0,0.0,,,False
10210818,long,bounce,BANKNIFTY2351143300CE,100,2023-05-09 09:22:00.935754,321.7,2023-05-09 09:22:01.448485,323.35,165.0,,,False
10214658,short,bounce,BANKNIFTY2351143600PE,300,2023-05-09 09:28:06.765005,299.9,2023-05-09 09:28:58.441283,323.85,7185.0,,,False
10213634,short,bounce,BANKNIFTY2351143500PE,500,2023-05-09 09:31:39.827684,284.6,2023-05-09 09:32:10.031143,268.45,-8075.0,,,False
10214658,short,bounce,BANKNIFTY2351143600PE,800,2023-05-09 10:32:25.560416,282.6,2023-05-09 10:33:56.341723,283.0,320.0,,,False
10214658,short,bounce,BANKNIFTY2351143600PE,800,2023-05-09 11:17:17.762049,265.25,2023-05-09 11:18:15.831572,265.4,120.0,,,False
10210818,long,bounce,BANKNIFTY2351143300CE,800,2023-05-09 11:49:49.887763,293.15,2023-05-09 11:51:14.564679,295.15,1600.0,,,False
10210818,long,bounce,BANKNIFTY2351143300CE,800,2023-05-09 12:27:53.002971,304.6,2023-05-09 12:28:19.726052,296.1,-6800.0,,,False
10210818,long,bounce,BANKNIFTY2351143300CE,800,2023-05-09 12:45:47.669307,308.0,2023-05-09 12:47:53.686396,315.9,6320.0,,,False
10210818,long,bounce,BANKNIFTY2351143300CE,800,2023-05-09 13:01:08.601224,282.7,2023-05-09 13:01:15.094824,290.7,6400.0,,,False
10213634,short,bounce,BANKNIFTY2351143500PE,425,2023-05-09 14:48:30.496337,316.2,2023-05-09 14:49:29.938489,333.65,7416.25,,,False
